objective value:                     16691228.7610438
x1                                                  1 	(obj:187.876647)
x277                                                1 	(obj:3247.658435)
x280                                                1 	(obj:3247.658435)
x283                                                1 	(obj:3247.658435)
x286                                                1 	(obj:3247.658435)
x313                                                1 	(obj:2489.90797)
x316                                                1 	(obj:2489.90797)
x319                                                1 	(obj:2489.90797)
x322                                                1 	(obj:2489.90797)
x325                                                1 	(obj:2489.90797)
x328                                                1 	(obj:2489.90797)
x331                                                1 	(obj:2489.90797)
x334                                                1 	(obj:2489.90797)
x337                                                1 	(obj:2489.90797)
x340                                                1 	(obj:2489.90797)
x343                                                1 	(obj:2489.90797)
x346                                                1 	(obj:2489.90797)
x349                                                1 	(obj:2489.90797)
x352                                                1 	(obj:2489.90797)
x355                                                1 	(obj:2489.90797)
x358                                                1 	(obj:2489.90797)
x361                                                1 	(obj:2489.90797)
x364                                                1 	(obj:2489.90797)
x367                                                1 	(obj:2489.90797)
x370                                                1 	(obj:2489.90797)
x373                                                1 	(obj:2489.90797)
x376                                                1 	(obj:2489.90797)
x379                                                1 	(obj:2489.90797)
x382                                                1 	(obj:2489.90797)
x392                                                1 	(obj:156.16122)
x430                                                1 	(obj:3913.036123)
x431                                                1 	(obj:0)
x433                                                1 	(obj:3913.036123)
x436                                                1 	(obj:3913.036123)
x439                                                1 	(obj:3913.036123)
x442                                                1 	(obj:3913.036123)
x445                                                1 	(obj:3913.036123)
x448                                                1 	(obj:3913.036123)
x451                                                1 	(obj:3913.036123)
x454                                                1 	(obj:3913.036123)
x457                                                1 	(obj:3913.036123)
x460                                                1 	(obj:3913.036123)
x463                                                1 	(obj:3913.036123)
x466                                                1 	(obj:3913.036123)
x469                                                1 	(obj:3913.036123)
x472                                                1 	(obj:3913.036123)
x475                                                1 	(obj:3913.036123)
x478                                                1 	(obj:3913.036123)
x505                                                1 	(obj:2930.467374)
x508                                                1 	(obj:2930.467374)
x511                                                1 	(obj:2930.467374)
x514                                                1 	(obj:2930.467374)
x517                                                1 	(obj:2930.467374)
x520                                                1 	(obj:2930.467374)
x523                                                1 	(obj:2930.467374)
x526                                                1 	(obj:2930.467374)
x529                                                1 	(obj:2930.467374)
x532                                                1 	(obj:2930.467374)
x535                                                1 	(obj:2930.467374)
x538                                                1 	(obj:2930.467374)
x541                                                1 	(obj:2930.467374)
x544                                                1 	(obj:2930.467374)
x547                                                1 	(obj:2930.467374)
x550                                                1 	(obj:2930.467374)
x553                                                1 	(obj:2930.467374)
x556                                                1 	(obj:2930.467374)
x559                                                1 	(obj:2930.467374)
x562                                                1 	(obj:2930.467374)
x565                                                1 	(obj:2930.467374)
x568                                                1 	(obj:2930.467374)
x571                                                1 	(obj:2930.467374)
x574                                                1 	(obj:2930.467374)
x577                                                1 	(obj:176.742133)
x601                                                1 	(obj:2974.842768)
x602                                                1 	(obj:0)
x604                                                1 	(obj:2974.842768)
x607                                                1 	(obj:2974.842768)
x610                                                1 	(obj:2974.842768)
x613                                                1 	(obj:2974.842768)
x616                                                1 	(obj:2974.842768)
x619                                                1 	(obj:2974.842768)
x622                                                1 	(obj:2974.842768)
x625                                                1 	(obj:2974.842768)
x628                                                1 	(obj:2974.842768)
x631                                                1 	(obj:2974.842768)
x634                                                1 	(obj:2974.842768)
x637                                                1 	(obj:2974.842768)
x640                                                1 	(obj:2974.842768)
x643                                                1 	(obj:2974.842768)
x646                                                1 	(obj:2974.842768)
x649                                                1 	(obj:2974.842768)
x652                                                1 	(obj:2974.842768)
x655                                                1 	(obj:2974.842768)
x658                                                1 	(obj:2974.842768)
x661                                                1 	(obj:2974.842768)
x664                                                1 	(obj:2974.842768)
x667                                                1 	(obj:2974.842768)
x670                                                1 	(obj:2974.842768)
x697                                                1 	(obj:3037.67644)
x700                                                1 	(obj:3037.67644)
x703                                                1 	(obj:3037.67644)
x706                                                1 	(obj:3037.67644)
x709                                                1 	(obj:3037.67644)
x712                                                1 	(obj:3037.67644)
x715                                                1 	(obj:3037.67644)
x718                                                1 	(obj:3037.67644)
x721                                                1 	(obj:3037.67644)
x724                                                1 	(obj:3037.67644)
x727                                                1 	(obj:3037.67644)
x730                                                1 	(obj:3037.67644)
x733                                                1 	(obj:3037.67644)
x736                                                1 	(obj:3037.67644)
x739                                                1 	(obj:3037.67644)
x742                                                1 	(obj:3037.67644)
x745                                                1 	(obj:3037.67644)
x748                                                1 	(obj:3037.67644)
x751                                                1 	(obj:3037.67644)
x754                                                1 	(obj:3037.67644)
x757                                                1 	(obj:3037.67644)
x760                                                1 	(obj:3037.67644)
x763                                                1 	(obj:3037.67644)
x766                                                1 	(obj:3037.67644)
x775                                                1 	(obj:154.831371)
x793                                                1 	(obj:2943.487386)
x796                                                1 	(obj:2943.487386)
x801                                                1 	(obj:0)
x811                                                1 	(obj:2943.487386)
x812                                                1 	(obj:0)
x814                                                1 	(obj:2943.487386)
x817                                                1 	(obj:2943.487386)
x820                                                1 	(obj:2943.487386)
x823                                                1 	(obj:2943.487386)
x826                                                1 	(obj:2943.487386)
x829                                                1 	(obj:2943.487386)
x832                                                1 	(obj:2943.487386)
x835                                                1 	(obj:2943.487386)
x838                                                1 	(obj:2943.487386)
x841                                                1 	(obj:2943.487386)
x844                                                1 	(obj:2943.487386)
x847                                                1 	(obj:2943.487386)
x850                                                1 	(obj:2943.487386)
x853                                                1 	(obj:2943.487386)
x856                                                1 	(obj:2943.487386)
x859                                                1 	(obj:2943.487386)
x862                                                1 	(obj:2943.487386)
x868                                                1 	(obj:166.046397)
x898                                                1 	(obj:3655.217423)
x899                                                1 	(obj:0)
x901                                                1 	(obj:3655.217423)
x904                                                1 	(obj:3655.217423)
x907                                                1 	(obj:3655.217423)
x910                                                1 	(obj:3655.217423)
x913                                                1 	(obj:3655.217423)
x916                                                1 	(obj:3655.217423)
x919                                                1 	(obj:3655.217423)
x922                                                1 	(obj:3655.217423)
x925                                                1 	(obj:3655.217423)
x928                                                1 	(obj:3655.217423)
x931                                                1 	(obj:3655.217423)
x934                                                1 	(obj:3655.217423)
x937                                                1 	(obj:3655.217423)
x940                                                1 	(obj:3655.217423)
x943                                                1 	(obj:3655.217423)
x946                                                1 	(obj:3655.217423)
x949                                                1 	(obj:3655.217423)
x952                                                1 	(obj:3655.217423)
x955                                                1 	(obj:3655.217423)
x958                                                1 	(obj:3655.217423)
x961                                                1 	(obj:171.456887)
x985                                                1 	(obj:3239.814132)
x986                                                1 	(obj:0)
x988                                                1 	(obj:3239.814132)
x991                                                1 	(obj:3239.814132)
x994                                                1 	(obj:3239.814132)
x997                                                1 	(obj:3239.814132)
x1000                                               1 	(obj:3239.814132)
x1003                                               1 	(obj:3239.814132)
x1006                                               1 	(obj:3239.814132)
x1009                                               1 	(obj:3239.814132)
x1012                                               1 	(obj:3239.814132)
x1015                                               1 	(obj:3239.814132)
x1018                                               1 	(obj:3239.814132)
x1021                                               1 	(obj:3239.814132)
x1024                                               1 	(obj:3239.814132)
x1027                                               1 	(obj:3239.814132)
x1030                                               1 	(obj:3239.814132)
x1033                                               1 	(obj:3239.814132)
x1036                                               1 	(obj:3239.814132)
x1039                                               1 	(obj:3239.814132)
x1042                                               1 	(obj:3239.814132)
x1045                                               1 	(obj:3239.814132)
x1048                                               1 	(obj:3239.814132)
x1051                                               1 	(obj:3239.814132)
x1054                                               1 	(obj:3239.814132)
x1081                                               1 	(obj:3478.160914)
x1084                                               1 	(obj:3478.160914)
x1087                                               1 	(obj:3478.160914)
x1090                                               1 	(obj:3478.160914)
x1093                                               1 	(obj:3478.160914)
x1096                                               1 	(obj:3478.160914)
x1099                                               1 	(obj:3478.160914)
x1102                                               1 	(obj:3478.160914)
x1105                                               1 	(obj:3478.160914)
x1108                                               1 	(obj:3478.160914)
x1111                                               1 	(obj:3478.160914)
x1114                                               1 	(obj:3478.160914)
x1117                                               1 	(obj:3478.160914)
x1120                                               1 	(obj:3478.160914)
x1123                                               1 	(obj:3478.160914)
x1126                                               1 	(obj:3478.160914)
x1129                                               1 	(obj:3478.160914)
x1132                                               1 	(obj:3478.160914)
x1135                                               1 	(obj:3478.160914)
x1138                                               1 	(obj:3478.160914)
x1141                                               1 	(obj:3478.160914)
x1144                                               1 	(obj:3478.160914)
x1147                                               1 	(obj:3478.160914)
x1150                                               1 	(obj:3478.160914)
x1153                                               1 	(obj:143.136402)
x1177                                               1 	(obj:2700.563974)
x1178                                               1 	(obj:0)
x1180                                               1 	(obj:2700.563974)
x1183                                               1 	(obj:2700.563974)
x1186                                               1 	(obj:2700.563974)
x1189                                               1 	(obj:2700.563974)
x1192                                               1 	(obj:2700.563974)
x1195                                               1 	(obj:2700.563974)
x1198                                               1 	(obj:2700.563974)
x1201                                               1 	(obj:2700.563974)
x1204                                               1 	(obj:2700.563974)
x1207                                               1 	(obj:2700.563974)
x1210                                               1 	(obj:2700.563974)
x1213                                               1 	(obj:2700.563974)
x1216                                               1 	(obj:2700.563974)
x1219                                               1 	(obj:2700.563974)
x1222                                               1 	(obj:2700.563974)
x1225                                               1 	(obj:2700.563974)
x1228                                               1 	(obj:2700.563974)
x1231                                               1 	(obj:2700.563974)
x1234                                               1 	(obj:2700.563974)
x1237                                               1 	(obj:2700.563974)
x1240                                               1 	(obj:2700.563974)
x1243                                               1 	(obj:2700.563974)
x1246                                               1 	(obj:2700.563974)
x1249                                               1 	(obj:172.348088)
x1273                                               1 	(obj:3632.358079)
x1274                                               1 	(obj:0)
x1276                                               1 	(obj:3632.358079)
x1279                                               1 	(obj:3632.358079)
x1282                                               1 	(obj:3632.358079)
x1285                                               1 	(obj:3632.358079)
x1288                                               1 	(obj:3632.358079)
x1291                                               1 	(obj:3632.358079)
x1294                                               1 	(obj:3632.358079)
x1297                                               1 	(obj:3632.358079)
x1300                                               1 	(obj:3632.358079)
x1303                                               1 	(obj:3632.358079)
x1306                                               1 	(obj:3632.358079)
x1309                                               1 	(obj:3632.358079)
x1312                                               1 	(obj:3632.358079)
x1315                                               1 	(obj:3632.358079)
x1318                                               1 	(obj:3632.358079)
x1321                                               1 	(obj:3632.358079)
x1324                                               1 	(obj:3632.358079)
x1327                                               1 	(obj:3632.358079)
x1330                                               1 	(obj:3632.358079)
x1333                                               1 	(obj:3632.358079)
x1336                                               1 	(obj:3632.358079)
x1339                                               1 	(obj:3632.358079)
x1342                                               1 	(obj:3632.358079)
x1369                                               1 	(obj:3156.028123)
x1372                                               1 	(obj:3156.028123)
x1375                                               1 	(obj:3156.028123)
x1378                                               1 	(obj:3156.028123)
x1381                                               1 	(obj:3156.028123)
x1384                                               1 	(obj:3156.028123)
x1387                                               1 	(obj:3156.028123)
x1390                                               1 	(obj:3156.028123)
x1393                                               1 	(obj:3156.028123)
x1396                                               1 	(obj:3156.028123)
x1399                                               1 	(obj:3156.028123)
x1402                                               1 	(obj:3156.028123)
x1405                                               1 	(obj:3156.028123)
x1408                                               1 	(obj:3156.028123)
x1411                                               1 	(obj:3156.028123)
x1414                                               1 	(obj:3156.028123)
x1417                                               1 	(obj:3156.028123)
x1420                                               1 	(obj:3156.028123)
x1423                                               1 	(obj:3156.028123)
x1426                                               1 	(obj:3156.028123)
x1429                                               1 	(obj:3156.028123)
x1432                                               1 	(obj:3156.028123)
x1435                                               1 	(obj:3156.028123)
x1438                                               1 	(obj:3156.028123)
x1447                                               1 	(obj:146.59593)
x1465                                               1 	(obj:3664.898374)
x1470                                               1 	(obj:0)
x1483                                               1 	(obj:3664.898374)
x1484                                               1 	(obj:0)
x1486                                               1 	(obj:3664.898374)
x1489                                               1 	(obj:3664.898374)
x1492                                               1 	(obj:3664.898374)
x1495                                               1 	(obj:3664.898374)
x1498                                               1 	(obj:3664.898374)
x1501                                               1 	(obj:3664.898374)
x1504                                               1 	(obj:3664.898374)
x1507                                               1 	(obj:3664.898374)
x1510                                               1 	(obj:3664.898374)
x1513                                               1 	(obj:3664.898374)
x1516                                               1 	(obj:3664.898374)
x1519                                               1 	(obj:3664.898374)
x1522                                               1 	(obj:3664.898374)
x1527                                               1 	(obj:0)
x1537                                               1 	(obj:189.498315)
x1561                                               1 	(obj:3332.742652)
x1562                                               1 	(obj:0)
x1564                                               1 	(obj:3332.742652)
x1567                                               1 	(obj:3332.742652)
x1570                                               1 	(obj:3332.742652)
x1573                                               1 	(obj:3332.742652)
x1576                                               1 	(obj:3332.742652)
x1579                                               1 	(obj:3332.742652)
x1582                                               1 	(obj:3332.742652)
x1585                                               1 	(obj:3332.742652)
x1588                                               1 	(obj:3332.742652)
x1591                                               1 	(obj:3332.742652)
x1594                                               1 	(obj:3332.742652)
x1597                                               1 	(obj:3332.742652)
x1600                                               1 	(obj:3332.742652)
x1603                                               1 	(obj:3332.742652)
x1606                                               1 	(obj:3332.742652)
x1609                                               1 	(obj:3332.742652)
x1612                                               1 	(obj:3332.742652)
x1615                                               1 	(obj:3332.742652)
x1618                                               1 	(obj:3332.742652)
x1621                                               1 	(obj:3332.742652)
x1624                                               1 	(obj:3332.742652)
x1627                                               1 	(obj:3332.742652)
x1630                                               1 	(obj:3332.742652)
x1639                                               1 	(obj:187.609457)
x1657                                               1 	(obj:3003.681363)
x1660                                               1 	(obj:3003.681363)
x1665                                               1 	(obj:0)
x1675                                               1 	(obj:3003.681363)
x1676                                               1 	(obj:0)
x1678                                               1 	(obj:3003.681363)
x1681                                               1 	(obj:3003.681363)
x1684                                               1 	(obj:3003.681363)
x1687                                               1 	(obj:3003.681363)
x1690                                               1 	(obj:3003.681363)
x1693                                               1 	(obj:3003.681363)
x1696                                               1 	(obj:3003.681363)
x1699                                               1 	(obj:3003.681363)
x1702                                               1 	(obj:3003.681363)
x1705                                               1 	(obj:3003.681363)
x1708                                               1 	(obj:3003.681363)
x1711                                               1 	(obj:3003.681363)
x1714                                               1 	(obj:3003.681363)
x1717                                               1 	(obj:3003.681363)
x1720                                               1 	(obj:3003.681363)
x1723                                               1 	(obj:3003.681363)
x1726                                               1 	(obj:3003.681363)
x1753                                               1 	(obj:2708.145613)
x1756                                               1 	(obj:2708.145613)
x1759                                               1 	(obj:2708.145613)
x1762                                               1 	(obj:2708.145613)
x1765                                               1 	(obj:2708.145613)
x1768                                               1 	(obj:2708.145613)
x1771                                               1 	(obj:2708.145613)
x1774                                               1 	(obj:2708.145613)
x1777                                               1 	(obj:2708.145613)
x1780                                               1 	(obj:2708.145613)
x1783                                               1 	(obj:2708.145613)
x1786                                               1 	(obj:2708.145613)
x1789                                               1 	(obj:2708.145613)
x1792                                               1 	(obj:2708.145613)
x1795                                               1 	(obj:2708.145613)
x1798                                               1 	(obj:2708.145613)
x1801                                               1 	(obj:2708.145613)
x1804                                               1 	(obj:2708.145613)
x1807                                               1 	(obj:2708.145613)
x1810                                               1 	(obj:2708.145613)
x1813                                               1 	(obj:2708.145613)
x1816                                               1 	(obj:2708.145613)
x1819                                               1 	(obj:2708.145613)
x1822                                               1 	(obj:2708.145613)
x1825                                               1 	(obj:165.288309)
x1849                                               1 	(obj:2823.192873)
x1850                                               1 	(obj:0)
x1852                                               1 	(obj:2823.192873)
x1855                                               1 	(obj:2823.192873)
x1858                                               1 	(obj:2823.192873)
x1861                                               1 	(obj:2823.192873)
x1864                                               1 	(obj:2823.192873)
x1867                                               1 	(obj:2823.192873)
x1870                                               1 	(obj:2823.192873)
x1873                                               1 	(obj:2823.192873)
x1876                                               1 	(obj:2823.192873)
x1879                                               1 	(obj:2823.192873)
x1882                                               1 	(obj:2823.192873)
x1885                                               1 	(obj:2823.192873)
x1888                                               1 	(obj:2823.192873)
x1891                                               1 	(obj:2823.192873)
x1894                                               1 	(obj:2823.192873)
x1897                                               1 	(obj:2823.192873)
x1900                                               1 	(obj:2823.192873)
x1903                                               1 	(obj:2823.192873)
x1906                                               1 	(obj:2823.192873)
x1909                                               1 	(obj:2823.192873)
x1912                                               1 	(obj:2823.192873)
x1915                                               1 	(obj:2823.192873)
x1918                                               1 	(obj:2823.192873)
x1945                                               1 	(obj:3205.047018)
x1948                                               1 	(obj:3205.047018)
x1951                                               1 	(obj:3205.047018)
x1954                                               1 	(obj:3205.047018)
x1957                                               1 	(obj:3205.047018)
x1960                                               1 	(obj:3205.047018)
x1963                                               1 	(obj:3205.047018)
x1966                                               1 	(obj:3205.047018)
x1969                                               1 	(obj:3205.047018)
x1972                                               1 	(obj:3205.047018)
x1975                                               1 	(obj:3205.047018)
x1978                                               1 	(obj:3205.047018)
x1981                                               1 	(obj:3205.047018)
x1984                                               1 	(obj:3205.047018)
x1987                                               1 	(obj:3205.047018)
x1990                                               1 	(obj:3205.047018)
x1993                                               1 	(obj:3205.047018)
x1996                                               1 	(obj:3205.047018)
x1999                                               1 	(obj:3205.047018)
x2002                                               1 	(obj:3205.047018)
x2005                                               1 	(obj:3205.047018)
x2008                                               1 	(obj:3205.047018)
x2011                                               1 	(obj:3205.047018)
x2014                                               1 	(obj:3205.047018)
x2041                                               1 	(obj:2952.401381)
x2044                                               1 	(obj:2952.401381)
x2047                                               1 	(obj:2952.401381)
x2050                                               1 	(obj:2952.401381)
x2053                                               1 	(obj:2952.401381)
x2056                                               1 	(obj:2952.401381)
x2059                                               1 	(obj:2952.401381)
x2062                                               1 	(obj:2952.401381)
x2065                                               1 	(obj:2952.401381)
x2068                                               1 	(obj:2952.401381)
x2071                                               1 	(obj:2952.401381)
x2074                                               1 	(obj:2952.401381)
x2077                                               1 	(obj:2952.401381)
x2080                                               1 	(obj:2952.401381)
x2083                                               1 	(obj:2952.401381)
x2086                                               1 	(obj:2952.401381)
x2089                                               1 	(obj:2952.401381)
x2092                                               1 	(obj:2952.401381)
x2095                                               1 	(obj:2952.401381)
x2098                                               1 	(obj:2952.401381)
x2101                                               1 	(obj:2952.401381)
x2104                                               1 	(obj:2952.401381)
x2107                                               1 	(obj:2952.401381)
x2110                                               1 	(obj:2952.401381)
x2137                                               1 	(obj:2762.053736)
x2140                                               1 	(obj:2762.053736)
x2143                                               1 	(obj:2762.053736)
x2146                                               1 	(obj:2762.053736)
x2149                                               1 	(obj:2762.053736)
x2152                                               1 	(obj:2762.053736)
x2155                                               1 	(obj:2762.053736)
x2158                                               1 	(obj:2762.053736)
x2161                                               1 	(obj:2762.053736)
x2164                                               1 	(obj:2762.053736)
x2167                                               1 	(obj:2762.053736)
x2170                                               1 	(obj:2762.053736)
x2173                                               1 	(obj:2762.053736)
x2176                                               1 	(obj:2762.053736)
x2179                                               1 	(obj:2762.053736)
x2182                                               1 	(obj:2762.053736)
x2185                                               1 	(obj:2762.053736)
x2188                                               1 	(obj:2762.053736)
x2191                                               1 	(obj:2762.053736)
x2194                                               1 	(obj:2762.053736)
x2197                                               1 	(obj:2762.053736)
x2200                                               1 	(obj:2762.053736)
x2203                                               1 	(obj:2762.053736)
x2206                                               1 	(obj:2762.053736)
x2213                                               1 	(obj:173.588783)
x2245                                               1 	(obj:3561.525836)
x2246                                               1 	(obj:0)
x2248                                               1 	(obj:3561.525836)
x2251                                               1 	(obj:3561.525836)
x2254                                               1 	(obj:3561.525836)
x2257                                               1 	(obj:3561.525836)
x2260                                               1 	(obj:3561.525836)
x2263                                               1 	(obj:3561.525836)
x2266                                               1 	(obj:3561.525836)
x2269                                               1 	(obj:3561.525836)
x2272                                               1 	(obj:3561.525836)
x2275                                               1 	(obj:3561.525836)
x2278                                               1 	(obj:3561.525836)
x2281                                               1 	(obj:3561.525836)
x2284                                               1 	(obj:3561.525836)
x2287                                               1 	(obj:3561.525836)
x2290                                               1 	(obj:3561.525836)
x2293                                               1 	(obj:3561.525836)
x2296                                               1 	(obj:3561.525836)
x2299                                               1 	(obj:3561.525836)
x2302                                               1 	(obj:3561.525836)
x2305                                               1 	(obj:131.931573)
x2329                                               1 	(obj:3303.342226)
x2330                                               1 	(obj:0)
x2332                                               1 	(obj:3303.342226)
x2335                                               1 	(obj:3303.342226)
x2338                                               1 	(obj:3303.342226)
x2341                                               1 	(obj:3303.342226)
x2344                                               1 	(obj:3303.342226)
x2347                                               1 	(obj:3303.342226)
x2350                                               1 	(obj:3303.342226)
x2353                                               1 	(obj:3303.342226)
x2356                                               1 	(obj:3303.342226)
x2359                                               1 	(obj:3303.342226)
x2362                                               1 	(obj:3303.342226)
x2365                                               1 	(obj:3303.342226)
x2368                                               1 	(obj:3303.342226)
x2371                                               1 	(obj:3303.342226)
x2374                                               1 	(obj:3303.342226)
x2377                                               1 	(obj:3303.342226)
x2380                                               1 	(obj:3303.342226)
x2383                                               1 	(obj:3303.342226)
x2386                                               1 	(obj:3303.342226)
x2389                                               1 	(obj:3303.342226)
x2392                                               1 	(obj:3303.342226)
x2395                                               1 	(obj:3303.342226)
x2398                                               1 	(obj:3303.342226)
x2405                                               1 	(obj:166.406091)
x2437                                               1 	(obj:3023.642052)
x2438                                               1 	(obj:0)
x2440                                               1 	(obj:3023.642052)
x2443                                               1 	(obj:3023.642052)
x2446                                               1 	(obj:3023.642052)
x2449                                               1 	(obj:3023.642052)
x2452                                               1 	(obj:3023.642052)
x2455                                               1 	(obj:3023.642052)
x2458                                               1 	(obj:3023.642052)
x2461                                               1 	(obj:3023.642052)
x2464                                               1 	(obj:3023.642052)
x2467                                               1 	(obj:3023.642052)
x2470                                               1 	(obj:3023.642052)
x2473                                               1 	(obj:3023.642052)
x2476                                               1 	(obj:3023.642052)
x2479                                               1 	(obj:3023.642052)
x2482                                               1 	(obj:3023.642052)
x2485                                               1 	(obj:3023.642052)
x2488                                               1 	(obj:3023.642052)
x2491                                               1 	(obj:3023.642052)
x2494                                               1 	(obj:3023.642052)
x2521                                               1 	(obj:3671.500816)
x2524                                               1 	(obj:3671.500816)
